id,first_name,last_name,player_number,team_name,player_position,home_runs,batting_average,height_inches
72,Charlie,Yurin,8,University of Nebraska - Lincoln,definition,899,0.704,70
73,Ricard,Mellor,79,National Aviation Univesity,circuit,51,0.32,56
74,Elfie,Iglesias,8,University of San Agustin,discrete,381,0.925,61
75,Josefa,Edgeson,1,Tallinn University of Technology,Reactive,779,0.442,75
76,Imogene,Farrier,1,Koc University,complexity,689,0.524,66
77,Lyell,Kelk,8,Fine Arts Academy in Katowice,Down-sized,558,0.495,63
78,Laurena,Gravenall,46,Indian Institute of Science,Innovative,176,0.432,50
79,Miran,Rennebach,46,Hue University of Agriculture and Forestry ,info-mediaries,134,0.406,52
80,Elisabet,Bowlands,53,Tampere Polytechnic,success,887,0.778,59
81,Kirby,Pring,19,Technological University (Pakokku),Multi-channelled,593,0.166,63
82,Adriano,Tison,26,University of Hawaii - Hilo,Upgradable,576,0.857,76
83,Carlin,Kenrick,69,Lead City University of Ibadan,extranet,899,0.204,79
84,Jeni,Portigall,60,Rangsit University,Multi-channelled,309,0.58,71
85,Cori,Latore,17,Washington University in St. Louis,composite,455,0.623,80
86,Charmaine,Curteis,9,"Dr. Hari Singh Gour University, formerly University of Sagar",Triple-buffered,257,0.038,74
87,Jimmie,Zolini,40,Universidad de la Cuenca del Plata,structure,789,0.456,68
88,Sharia,Idiens,16,Hanshin University,matrices,294,0.888,68
89,Jojo,Burt,44,Hochschule Bremerhaven,architecture,929,0.724,78
90,Babbette,Licari,24,Universidad Catolica de La Santísima Concepción,asynchronous,705,0.835,53
91,Otes,Giacopelo,83,Nugaal University,Monitored,105,0.678,79
92,Alec,Mullaly,80,Latvian Academy of Sports Education,hybrid,55,0.086,72
93,Clio,Wahncke,85,Donetsk National Technical University,customer loyalty,407,0.265,50
94,Minne,McTrustey,35,Tibet University of Nationalities,needs-based,909,0.413,61
95,Stafani,Leinthall,90,University of Delhi,bifurcated,974,0.779,57
96,Sheree,Rainton,27,Hokkaido University of Health Sciences,demand-driven,805,0.935,78
97,Kathye,Bosomworth,43,Emerson College,Open-source,477,0.918,56
98,Chester,Notley,79,Kanto Gakuen University,high-level,41,0.071,59
99,Teriann,Andryushin,98,Seiwa College,Team-oriented,45,0.181,65
100,Winonah,Humburton,52,University Medical School of Debrecen,Team-oriented,319,0.816,76
